"","addr.city","addr.country","addr.housenumber","addr.postcode","addr.street","caravans","email","name","opening_hours","phone","tents","tourism","dog","dryer","fax","phone.mobile","power_supply","washing_machine","website","wheelchair","created_by","scout","amenity","fixme","leisure","openfire","operator","description","postal_code","source","sport","access","internet_access","contact.email","contact.fax","contact.phone","contact.website","addr.suburb","cabins","stars","note","url","internet_access.fee","maxtents","designation","addr.housename","kitchen","group_only","wifi","lat","lon"
"298393116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5436463,10.224459
"302956554",NA,NA,NA,NA,NA,"no","info@ukf-ulm.de","Zeltplatz Kanufahrer",NA,"+49 (0)731 85267","yes","camp_site",NA,NA,"+49 (0)731 85267",NA,NA,NA,"http://www.ukf-ulm.de/cms/?page_id=220","limited",NA,NA,NA,NA,NA,"yes","Ulmer Kanufahrer e.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3928958,9.9899594
"304540879","Furth im Wald","DE","14","93437","Ränkam/Kühberg","yes","info@pension-waldesruh.com","Campingplatz Waldesruh","Apr 01-Oct 31","+49 9973 1083","yes","camp_site",NA,"yes","+49 9973 2193",NA,"yes","yes","www.pension-waldesruh.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2999237,12.7764715
"304862815",NA,NA,NA,NA,NA,NA,NA,"Die AktivMühle",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.aktivmuehle.de/html/camping.html",NA,NA,NA,NA,NA,NA,NA,NA,"Zeltplatz","91807","survey","boating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8919551,10.9989399
"310425318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9320693,11.5881823
"316314617",NA,NA,NA,NA,NA,NA,NA,"Campingplatz Waldsee",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8840804,10.7363593
"323206481","Betzenstein",NA,"69","91282","Hauptstraße",NA,NA,"Camping Betzenstein",NA,NA,"yes","camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-betzenstein.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6853009,11.4025375
"323966929","Babenhausen","DE",NA,"87727",NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.133437,10.2439536
"335414604","Würzburg",NA,"13B","97082","Mergentheimer Straße",NA,"campingplatz@kc-wuerzburg.de","Campingplatz Kanu-Club",NA,"+49 931 72536",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.kc-wuerzburg.de/gelaende.html",NA,NA,NA,NA,NA,NA,NA,"Kanu-Club Würzburg e.V.",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7800791,9.9274266
"340016098","Sand am Main","DE","7","97522","Pappelallee","yes",NA,"Campingplatz Sand am Main",NA,"+49 9524 822270","yes","camp_site","yes",NA,"+49 9524 822275",NA,NA,NA,"http://www.campingplatz-sand-am-main.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9910893,10.5795531
"348344783",NA,NA,NA,NA,NA,NA,NA,"Ölkuchenmühle",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2354422,11.4532422
"355960345",NA,NA,NA,NA,NA,NA,NA,"Umweltstation Unterallgäu",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8540492,10.1464684
"365136271",NA,NA,NA,NA,NA,NA,NA,"Aussteller-Camp",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,"Merkaartor 0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1910122,10.1246347
"368041119",NA,NA,NA,NA,NA,"yes",NA,"Bamberger Faltboot-Club",NA,NA,"yes","camp_site",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"info@faltbootclub.de","+49 951 9682992","+49 951 68624","http://www.faltbootclub.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9035154,10.8736851
"373098246","Emmering","DE","18","82275","Siedlerstraße",NA,NA,"Freie Sportgemeinschaft Amperland e. V.",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.fsamperland.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1884911,11.2962042
"383912440",NA,NA,NA,NA,NA,NA,NA,"Lugenau",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7636247,10.9938897
"390483665",NA,NA,NA,NA,NA,NA,NA,"Fohnsee Camping",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water_park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7798583,11.3157954
"412362354","Speichersdorf","DE",NA,"95469","Herrenwald","yes","info@herrenwald-speichersdorf.de","Campingplatz Herrenwald",NA,"+49 9275 218","yes","camp_site",NA,NA,NA,NA,NA,NA,"http://www.herrenwald-speichersdorf.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8609322,11.7366212
"415002969","Ebrach","DE","21","96157","Schwimmbadweg","yes","weihersee@t-online.de","Campingplatz Weihersee",NA,"+49 9553 9890579","yes","camp_site","yes",NA,NA,"+49 175 7854814","yes",NA,"http://www.weihersee.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8456352,10.4813752
"415566128",NA,NA,NA,NA,NA,NA,NA,"Zeltplatz der Kolpingsfamilie Münchberg",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kolpingsfamilie Münchberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7730088,11.3745133
"415566198","Kleinlesau",NA,NA,"91278",NA,NA,NA,"Campingplatz Jurahöhe",NA,"+49 9243 9173","yes","camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-jurahoehe.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7981344,11.3755301
"416333185","Weißenburg",NA,"10","91781","Eichstätter Landstraße",NA,NA,"Am alten Badeweiher",NA,"+49 9141 5222",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-weissenburg.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0192928,10.9968539
"416440101","Heidenheim-Hechlingen am See",NA,NA,"91719",NA,NA,NA,"Campingplatz Hasenmühle",NA,"+49 9833  1696",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-hasenmuehle.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extrapolation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9720435,10.7266333
"416457349","Pottenstein-Tüchersfeld",NA,"13","91278","Im Tal",NA,NA,"Campingplatz Fränkische Schweiz",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-fraenkische-schweiz.info",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7827475,11.3666543
"416514046","Gößweinstein",NA,"10","91327","Allersdorf",NA,NA,"Kormershof",NA,"+49 9242 1041","yes","camp_site",NA,NA,NA,NA,NA,NA,"http://www.kormershof.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7395652,11.3455865
"416928067",NA,NA,NA,NA,NA,NA,NA,"Jugendzeltplatz Wellheim",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"restricted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8276563,11.0923698
"443461231",NA,NA,NA,NA,NA,NA,NA,"Camping Paradies Franken",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.camping-paradies-franken.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5222406,10.1240762
"444334878",NA,NA,NA,NA,NA,NA,NA,"VCP Hemhofen Zeltplatz",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"www.vcp-hemhofen.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.694792,10.9478264
"451615941","Seehausen","DE",NA,"82418","Insel Buchau","no","info@buchau-campinginsel.de","Camping Insel Buchau am Staffelsee",NA,"+49 8841 4881701","yes","camp_site","no",NA,NA,NA,NA,NA,"http://www.buchau-campinginsel.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6927936,11.1714894
"451768868",NA,NA,NA,NA,NA,NA,NA,"Donaucamping",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5690426,10.5018986
"464357991","Oberwössen","DE","4","83246","Litzelau","yes","info@camping-litzelau.de","Campingplatz Litzelau",NA,"+49 8640 8704","yes","camp_site","yes",NA,"+49 8640 5265",NA,"yes",NA,"http://www.camping-litzelau.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,"Brem","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7166373,12.4786912
"482828839","Augsburg","DE","54b","86169","Mühlhauser Straße",NA,"info@caravaningpark.de","Campingplatz Augsburg",NA,"+49 821 70 75 75",NA,"camp_site",NA,NA,NA,NA,NA,NA,"www.caravaningpark.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4121688,10.9231635
"495317114",NA,NA,NA,NA,NA,NA,NA,"Selbstversorger-Campingplatz am Kleidersee",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0044892,10.5512884
"512045042",NA,NA,NA,NA,NA,NA,NA,"See Camping Günztal",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"www.see-camping-guenztal.de","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2272601,10.2921947
"533991129",NA,NA,NA,NA,NA,NA,NA,"Zeltplatz Wülfershausen",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0637615,10.0095895
"540127047",NA,NA,NA,NA,NA,NA,NA,"Campingplatz Settele",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.145782,10.5765615
"541004823",NA,NA,NA,NA,NA,NA,NA,"Waldberg Rhön",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3384278,9.9895236
"541722170",NA,NA,NA,NA,NA,NA,NA,"Campingplatz Kahl am Main",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0656195,8.9912974
"544874595",NA,NA,NA,NA,NA,NA,NA,"Zeltplatz Rücklenmühle",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3838196,10.579891
"606942516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1893019,11.1245037
"611611710","Ebern","DE","2","96106","Am Brunnenholz",NA,NA,"Jugendzeltplatz Reutersbrunn",NA,"+49 9531 8983",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.reutersbrunn.de/",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.067839,10.7500309
"664199717","Lohr am Main","DE","12","97816","Jahnstraße",NA,"info@camping-lohr.de","Campingplatz Mainufer",NA,"+49 9352 89392",NA,"camp_site",NA,NA,NA,NA,NA,NA,"www.camping-lohr.de",NA,NA,NA,NA,NA,NA,NA,"TSV 1846 Lohr am Main e.V.",NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9989191,9.5841443
"664205195","Gemünden",NA,"7","97737","Duivenallee",NA,NA,"Campingplatz Saale-Insel",NA,"+49 9351 8574",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.campingplatz-saaleinsel.de/",NA,NA,NA,NA,NA,NA,NA,"Stadtverwaltung Gemünden am Main",NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0612301,9.6945118
"666034014","Seßlach","DE","154","96145","Bahnhofstraße",NA,NA,"Camping Sonnland",NA,"+49 9569 220",NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.camping-sonnland.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.194351,10.8372199
"667447182","Ebermannstadt","DE","3A","91320","Rothenbühl",NA,NA,"Campingplatz Rothenbühl",NA,"+49 9194 519992",NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7903402,11.2045901
"707982788",NA,NA,NA,NA,NA,NA,NA,"Jugendzeltplatz Altmühlsprung",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4140473,10.3238238
"714226466","Collenberg",NA,"42","97903","Schloßstraße","yes","info@campingmaintal.de","Camping Maintal",NA,"09376 1270","yes","camp_site",NA,NA,NA,NA,NA,NA,"http://campingmaintal.de/start.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7693342,9.3424325
"779983447",NA,NA,NA,NA,NA,NA,NA,"Mandlachsee (Kreisjugendring Aichach Friedberg)",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5536808,11.0690092
"812278046",NA,NA,NA,NA,NA,NA,NA,"Naturfreundehaus",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4441322,10.2997279
"838961909","Petting-Kühnhausen","DE","7","83367","Strandbadstraße","yes","office@camping-wagner.de","Campingplatz-Strandbad Wagner",NA,"+49 8686 984477","yes","camp_site",NA,NA,"+49 8686 984476",NA,"yes",NA,"http://www.camping-wagner.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9291042,12.8020509
"943256617",NA,NA,NA,NA,NA,NA,NA,"Wildniscamp am Falkenstein",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.wildniscamp.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0832598,13.2453071
"946953964",NA,NA,NA,NA,NA,NA,NA,"Jugendzeltplatz Altenhof",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7455978,11.4268966
"963896934",NA,NA,NA,NA,NA,NA,NA,"Campingplatz Landshut/Mitterwöhr",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Viele POI finder gehen nur auf Punkte, nicht auf Flaechen, deshalb der extra Eintrag hier (blutsauger)",NA,NA,NA,NA,NA,NA,NA,NA,48.5545249,12.1801791
"980557747","Langdorf/Bayrischer Wald","DE","26","94264","Nebelberg","yes","info@urlaub-waldhof.de","Campingplatz Waldhof",NA,"+49 9922 1024","yes","camp_site",NA,NA,"+49 9922 500739",NA,NA,NA,"http://www.urlaub-waldhof.de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.023422,13.1576021
"1200784644",NA,NA,NA,NA,NA,NA,NA,"Zeltplatz Sauters",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5959196,9.7211198
"1261926708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9840389,11.6426533
"1280361016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2163417,12.579248
"1323899307",NA,NA,NA,NA,NA,NA,"info@jugendzeltplatz.com","Jugendzeltplatz Paulsteiner",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,"http://www.jugendzeltplatz.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6428518,10.5690821
"1332731687",NA,NA,NA,NA,NA,NA,NA,"Jugendzeltplatz",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.201922,11.1735111
