"","unique_number","id_no","rev_bis","name_en","name_fr","short_description_en","short_description_fr","justification_en","justification_fr","date_inscribed","secondary_dates","danger_list","longitude","latitude","area_hectares","C1","C2","C3","C4","C5","C6","N7","N8","N9","N10","criteria_txt","category","category_short","states_name_en","states_name_fr","name_en.1","name_fr.1","iso_code","udnp_code","transboundary"
"320",1875,1413,NA,"Bergpark Wilhelmshöhe","Bergpark Wilhelmshöhe","<p>Descending a long hill dominated by a giant statue of Hercules, the monumental water displays of Wilhelmsh&ouml;he&nbsp;were begun by Landgrave Carl of Hesse-Kassel in 1689 around an east-west axis and were developed further into the 19th century. Reservoirs and channels behind the Hercules Monument supply water to a complex system of hydro-pneumatic devices that supply the site&rsquo;s large Baroque water theatre, grotto, fountains and 350-metre long Grand Cascade. Beyond this, channels and waterways wind across the axis, feeding a series of dramatic waterfalls and wild rapids, the geyser-like Grand Fountain which leaps 50m high, the lake and secluded ponds that enliven the Romantic garden created in the 18th century by Carl&rsquo;s great-grandson, Elector Wilhelm I. The great size of the park and its waterworks along with the towering Hercules statue constitute an expression of the ideals of absolutist Monarchy while the ensemble is a remarkable testimony to the aesthetics of the Baroque and Romantic periods.</p>","<p>Descendant la longue pente d&rsquo;une colline couronn&eacute;e par la statue g&eacute;ante d&rsquo;Hercule, les jeux d&rsquo;eau monumentaux de Wilhelmsh&ouml;he&nbsp;furent cr&eacute;&eacute;s &agrave; partir de 1689 par le landgrave Charles de Hesse-Cassel autour d&rsquo;un axe est-ouest. D&rsquo;autres &eacute;l&eacute;ments ont &eacute;t&eacute; apport&eacute;s par la suite. Des r&eacute;servoirs et canaux am&eacute;nag&eacute;s derri&egrave;re le monument d&rsquo;Hercule apportent l&rsquo;eau au syst&egrave;me complexe de dispositifs hydropneumatiques alimentant le vaste th&eacute;&acirc;tre d&rsquo;eau baroque du site, sa grotte, ses fontaines et sa grande cascade de 350 m&egrave;tres de long. Outre cet ensemble, les lignes sinueuses de canaux et voies d&rsquo;eau artificielles traversent cet axe, en alimentant une s&eacute;rie de chutes d&rsquo;eau spectaculaires et de rapides tumultueux, la grande fontaine et son geyser jaillissant &agrave; une hauteur de 50 m&egrave;tres, le lac et les bassins isol&eacute;s qui animent le jardin romantique cr&eacute;&eacute; au 18e si&egrave;cle par l&rsquo;arri&egrave;re-petit-fils de Charles, l&rsquo;&eacute;lecteur Guillaume Ier. La grande taille du parc et de ses jeux d&rsquo;eau, ainsi que l&rsquo;imposante statue d&rsquo;Hercule, constitue une expression du pouvoir absolu en Europe et l&rsquo;ensemble t&eacute;moigne des conceptions esth&eacute;tiques des p&eacute;riodes baroque et romantique.</p>",NA,NA,2013,NA,NA,9.3930555556,51.3158333333,558.7,0,0,1,1,0,0,0,0,0,0,"(iii)(iv)","Cultural","C","Germany","Allemagne","Europe and North America","Europe et Amérique du nord","de","deu",0
"321",1990,1447,NA,"Carolingian Westwork and Civitas Corvey","Westwerk caroligien et civitas de Corvey","<p>The site is located along the Weser River on the outskirts of Höxter where the Carolingian Westwork and Civitas Corvey were erected between AD 822 and 885 in a largely preserved rural setting. The Westwork is the only standing structure that dates back to the Carolingian era, while the original imperial abbey complex is preserved as archaeological remains that are only partially excavated. The Westwork of Corvey uniquely illustrates one of the most important Carolingian architectural expressions. It is a genuine creation of this period, and its architectural articulation and decoration clearly illustrate the role played within the Frankish empire by imperial monasteries in securing territorial control and administration, as well as the propagation of Christianity and the Carolingian cultural and political order throughout Europe.</p>","<p>Le bien est situé le long de la Weser, à la périphérie de la ville de Höxter, où le Westwerk et la civitas furent érigés entre 822 et 885 apr. J.-C. dans un environnement rural encore largement préservé. Le Westwerk est l’unique structure debout qui remonte à l’époque carolingienne, tandis que l’ensemble de l’abbaye impériale d’origine est conservé sous forme de vestiges archéologiques, dont une partie seulement a été fouillée. Le Westwerk de Corvey représente un des exemples les plus éminents de l’architecture carolingienne. Il s’agit d’une création authentique de cette période. De plus, l’articulation et la décoration architecturales du Westwerk illustrent clairement le rôle joué au sein de l’Empire franc par les monastères impériaux, en assurant le contrôle territorial, l’administration ainsi que la diffusion du christianisme et de l’ordre politique et culturel carolingien dans l’ensemble de l’Europe.</p>",NA,NA,2014,NA,NA,9.41025,51.7782777778,12,0,1,1,1,0,0,0,0,0,0,"(ii)(iii)(iv)","Cultural","C","Germany","Allemagne","Europe and North America","Europe et Amérique du nord","de","deu",0
"322",2028,1467,NA,"Speicherstadt and Kontorhaus District with Chilehaus","La Speicherstadt et le quartier Kontorhaus avec la Chilehaus","<p><span>Speicherstadt and the adjacent Kontorhaus district are two densely built urban areas in the centre of the port city of Hamburg. Speicherstadt, originally developed on a group of narrow islands in the Elbe River between 1885 and 1927, was partly rebuilt from 1949 to 1967. It is one of the largest coherent historic ensembles of port warehouses in the world (300,000 m</span><sup>2</sup><span>). It includes 15 very large warehouse blocks as well as six ancillary buildings and a connecting network of short canals. Adjacent to the modernist Chilehaus office building, the Kontorhaus district is an area of over five hectares featuring six very large office complexes built from the 1920s to the 1940s to house port-related businesses. The complex exemplifies the effects of the rapid growth in international trade in the late 19</span><sup>th</sup><span> and early 20</span><sup>th</sup><span> centuries.</span></p>","<p><span>La Speicherstadt et le quartier Kontorhaus sont deux zones urbaines centrales de la ville portuaire allemande de Hambourg. La Speicherstadt, qui s’est développée à l’origine sur un groupe d’îles étroites de l’Elbe, entre 1885 et 1927 (partiellement reconstruite de 1949 à 1967), est l’un des plus grands complexes d’entrepôts portuaires historiques unifiés au monde (300 000 m2). Il comprend quinze très grands entrepôts et six bâtiments annexes, bâtis sur un réseau de courts canaux. Adossé à l’immeuble moderniste de la Chilehaus, le quartier Kontorhaus, contigu, est une zone de plus de 5 hectares, qui comporte six très grands complexes de bureaux construits entre les années 1920 et 1940 pour accueillir des entreprises se livrant à des activités liées au port. L’ensemble du bien illustre parfaitement les conséquences de la croissance rapide du commerce international à la fin du XIXe et au début du XXe siècle.</span></p>",NA,NA,2015,NA,NA,9.9994444444,53.5455555556,26.08,0,0,0,1,0,0,0,0,0,0,"(iv)","Cultural","C","Germany","Allemagne","Europe and North America","Europe et Amérique du nord","de","deu",0
"323",39,35,NA,"Asante Traditional Buildings","Bâtiments traditionnels ashanti","<p>To the north-east of Kumasi, these are the last material remains of the great Asante civilization, which reached its high point in the 18th century. Since the dwellings are made of earth, wood and straw, they are vulnerable to the onslaught of time and weather.</p>","<p>Au nord-est de Koumassi subsistent les derniers t&eacute;moins mat&eacute;riels de la grande civilisation des Ashantis qui connut son apog&eacute;e au XVIII<sup>e</sup> si&egrave;cle. Les maisons de bois, de terre et de chaume sont peu &agrave; peu menac&eacute;es de destruction sous l'effet du temps et du climat.</p>",NA,NA,1980,NA,NA,-1.6258333333,6.4011111111,0,0,0,0,0,1,0,0,0,0,0,"(v)","Cultural","C","Ghana","Ghana","Africa","Afrique","gh","gha",0
"324",452,392,NA,"Temple of Apollo Epicurius at Bassae","Temple d'Apollon Épikourios à Bassae","<p>This famous temple to the god of healing and the sun was built towards the middle of the 5th century B.C. in the lonely heights of the Arcadian mountains. The temple, which has the oldest Corinthian capital yet found, combines the Archaic style and the serenity of the Doric style with some daring architectural features.</p>","<p>Ce c&eacute;l&egrave;bre temple du dieu solaire et gu&eacute;risseur fut construit vers le milieu du V<sup>e</sup> si&egrave;cle av. J.-C. dans la solitude des montagnes arcadiennes. Le m&eacute;lange de l'archa&iuml;sme et de la s&eacute;r&eacute;nit&eacute; du style dorique avec certaines audaces architecturales est caract&eacute;ristique de cet &eacute;difice o&ugrave; se trouve le plus ancien chapiteau corinthien conserv&eacute;.</p>",NA,NA,1986,NA,NA,21.89694,37.43498,20.46,1,1,1,0,0,0,0,0,0,0,"(i)(ii)(iii)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"325",453,393,NA,"Archaeological Site of Delphi","Site archéologique de Delphes","<p>The pan-Hellenic sanctuary of Delphi, where the oracle of Apollo spoke, was the site of the omphalos, the 'navel of the world'. Blending harmoniously with the superb landscape and charged with sacred meaning, Delphi in the 6th century B.C. was indeed the religious centre and symbol of unity of the ancient Greek world.</p>","<p>Le sanctuaire panhell&eacute;nique de Delphes o&ugrave; parlait l'oracle d'Apollon abritait l'Omphalos, &laquo; nombril du monde &raquo;. En harmonie avec une nature superbe, investie d'une signification sacr&eacute;e, il &eacute;tait au VI<sup>e</sup> si&egrave;cle av. J.-C. le v&eacute;ritable centre et le symbole de l'unit&eacute; du monde grec.</p>",NA,NA,1987,NA,NA,22.49617,38.48149,51.04,1,1,1,1,0,1,0,0,0,0,"(i)(ii)(iii)(iv)(vi)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"326",467,404,NA,"Acropolis, Athens","Acropole d'Athènes","<p>The Acropolis of Athens and its monuments are universal symbols of the classical spirit and civilization and form the greatest architectural and artistic complex bequeathed by Greek Antiquity to the world. In the second half of the fifth century bc, Athens, following the victory against the Persians and the establishment of democracy, took a leading position amongst the other city-states of the ancient world. In the age that followed, as thought and art flourished, an exceptional group of artists put into effect the ambitious plans of Athenian statesman Pericles and, under the inspired guidance of the sculptor Pheidias, transformed the rocky hill into a unique monument of thought and the arts. The most important monuments were built during that time: the Parthenon, built by Ictinus, the Erechtheon, the Propylaea, the monumental entrance to the Acropolis, designed by Mnesicles and the small temple Athena Nike.&nbsp;</p>","<p>L'Acropole d'Ath&egrave;nes et ses monuments sont le symbole universel de l'esprit et de la civilisation classiques, et forment le plus extraordinaire ensemble architectural et artistique l&eacute;gu&eacute; par la Gr&egrave;ce antique au reste du monde. Dans la seconde moiti&eacute; du Ve&nbsp;si&egrave;cle avant JC, Ath&egrave;nes, suite &agrave; sa victoire sur les Perses et &agrave; l'&eacute;tablissement de la d&eacute;mocratie, prit un ascendant sur les autres Cit&eacute;s-&Eacute;tats du monde antique. Durant cette p&eacute;riode, alors que l'art et la pens&eacute;e florissaient, un groupe exceptionnel d'artistes mit en &oelig;uvre les plans ambitieux de P&eacute;ricl&egrave;s, homme d'&Eacute;tat ath&eacute;nien, et transforma, sous la direction &eacute;clair&eacute;e du sculpteur Ph&eacute;idias, la colline rocheuse en un monument unique d'esprit et d'arts. Les principaux monuments furent &eacute;rig&eacute;s &agrave; cette &eacute;poque&nbsp;: le Parth&eacute;non, construit par Ictinus, l'&Eacute;rechth&eacute;ion, les Propyl&eacute;es, l'entr&eacute;e monumentale de l'Acropole, dessin&eacute;s par Mnesicl&egrave;s et le petit temple d'Ath&eacute;na Nik&ecirc;.</p>",NA,NA,1987,NA,NA,23.72618,37.97087,3.04,1,1,1,1,0,1,0,0,0,0,"(i)(ii)(iii)(iv)(vi)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"327",526,454,NA,"Mount Athos","Mont Athos","<p>An Orthodox spiritual centre since 1054, Mount Athos has enjoyed an autonomous statute since Byzantine times. The 'Holy Mountain', which is forbidden to women and children, is also a recognized artistic site. The layout of the monasteries (about 20 of which are presently inhabited by some 1,400 monks) had an influence as far afield as Russia, and its school of painting influenced the history of Orthodox art.</p>","<p>Foyer spirituel orthodoxe depuis 1054, la &laquo; Sainte Montagne &raquo;, interdite aux femmes et aux enfants, dot&eacute;e d'un statut autonome depuis Byzance, est aussi un haut lieu artistique. Le plan type de ses monast&egrave;res (dont une vingtaine abritent actuellement 1 400 moines) a eu une influence jusqu'en Russie, et son &eacute;cole de peinture a marqu&eacute; l'histoire de l'art orthodoxe.</p>",NA,NA,1988,NA,NA,24.21667,40.26667,33042.3,1,1,0,1,1,1,1,0,0,0,"(i)(ii)(iv)(v)(vi)(vii)","Mixed","C/N","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"328",527,455,NA,"Meteora","Météores","<p>In a region of almost inaccessible sandstone peaks, monks settled on these 'columns of the sky' from the 11th century onwards. Twenty-four of these monasteries were built, despite incredible difficulties, at the time of the great revival of the eremetic ideal in the 15th century. Their 16th-century frescoes mark a key stage in the development of post-Byzantine painting.</p>","<p>Dans un paysage de pitons de gr&egrave;s presque inaccessibles, des moines anachor&egrave;tes s'install&egrave;rent sur les &laquo; colonnes du ciel &raquo; d&egrave;s le XI<sup>e</sup> si&egrave;cle. Lors du grand renouveau de l'id&eacute;al &eacute;r&eacute;mitique au XV<sup>e</sup> si&egrave;cle, vingt-quatre monast&egrave;res avaient &eacute;t&eacute; b&acirc;tis au prix d'incroyables difficult&eacute;s. Leurs fresques du XVI<sup>e</sup> si&egrave;cle marquent une &eacute;tape fondamentale dans l'histoire de la peinture postbyzantine.</p>",NA,NA,1988,NA,NA,21.63333,39.71667,271.87,1,1,0,1,1,0,1,0,0,0,"(i)(ii)(iv)(v)(vii)","Mixed","C/N","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"329",528,456,NA,"Paleochristian and Byzantine Monuments of Thessalonika","Monuments paléochrétiens et byzantins de Thessalonique","<p>Founded in 315 B.C., the provincial capital and sea port of Thessalonika was one of the first bases for the spread of Christianity. Among its Christian monuments are fine churches, some built on the Greek cross plan and others on the three-nave basilica plan. Constructed over a long period, from the 4th to the 15th century, they constitute a diachronic typological series, which had considerable influence in the Byzantine world. The mosaics of the rotunda, St Demetrius and St David are among the great masterpieces of early Christian art.</p>","<p>Fond&eacute;e en 315 av. J.-C., Thessalonique, capitale provinciale et ville portuaire, fut l'un des premiers foyers de diffusion du christianisme. Ses monuments chr&eacute;tiens offrent des exemples &eacute;minents d'&eacute;glises de plan central, de plan basilical ou de plan interm&eacute;diaire au cours d'une p&eacute;riode allant du IV<sup>e</sup> au XV<sup>e</sup> si&egrave;cle, constituant ainsi une s&eacute;rie typologique diachronique dont l'influence fut consid&eacute;rable dans le monde byzantin. Les mosa&iuml;ques de la Rotonde, de Saint-D&eacute;m&eacute;trios et de Saint-David sont au nombre des grands chefs-d'&oelig;uvre de l'art pal&eacute;ochr&eacute;tien.</p>",NA,NA,1988,NA,NA,22.965,40.63833,5.327,1,1,0,1,0,0,0,0,0,0,"(i)(ii)(iv)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"330",571,491,NA,"Sanctuary of Asklepios at Epidaurus","Sanctuaire d'Asclépios en Epidaure","<p>In a small valley in the Peloponnesus, the shrine of Asklepios, the god of medicine, developed out of a much earlier cult of Apollo (Maleatas), during the 6th century BC at the latest, as the official cult of the city state of Epidaurus. Its principal monuments, particularly the temple of Asklepios, the Tholos and the Theatre - considered one of the purest masterpieces of Greek architecture &ndash; date from the 4th century. The vast site, with its temples and hospital buildings devoted to its healing gods, provides valuable insight into the healing cults of Greek and Roman times.</p>","<p>Dans une petite vall&eacute;e du P&eacute;loponn&egrave;se, le sanctuaire d&rsquo;Ascl&eacute;pios, le dieu de la m&eacute;decine, issu du culte d&rsquo;Apollon (Mal&eacute;atas), prit forme au plus tard au VIe si&egrave;cle avant notre &egrave;re et devint le culte officiel de la cit&eacute;-&eacute;tat d&rsquo;Epidaure. Ses principaux monuments, dont le temple d&rsquo;Ascl&eacute;pios, le Tholos et le Th&eacute;&acirc;tre - consid&eacute;r&eacute; comme l'un des plus purs chefs-d'&oelig;uvre de l'architecture grecque - datent du IVe si&egrave;cle. L'ensemble du sanctuaire, avec ses temples et ses installations hospitali&egrave;res consacr&eacute;s aux dieux gu&eacute;risseurs, offre un t&eacute;moignage exceptionnel des cultes th&eacute;rapeutiques du monde hell&eacute;nique et romain.</p>",NA,NA,1988,NA,NA,23.11666667,37.66666667,1393.8,1,1,1,1,0,1,0,0,0,0,"(i)(ii)(iii)(iv)(vi)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"331",574,493,NA,"Medieval City of Rhodes","Ville médiévale de Rhodes","<p>The Order of St John of Jerusalem occupied Rhodes from 1309 to 1523 and set about transforming the city into a stronghold. It subsequently came under Turkish and Italian rule. With the Palace of the Grand Masters, the Great Hospital and the Street of the Knights, the Upper Town is one of the most beautiful urban ensembles of the Gothic period. In the Lower Town, Gothic architecture coexists with mosques, public baths and other buildings dating from the Ottoman period.</p>","<p>L'ordre des Hospitaliers de Saint-Jean-de-J&eacute;rusalem a occup&eacute; la ville de 1309 &agrave; 1523 et a entrepris de la transformer en place forte avant qu'elle ne passe successivement sous domination turque et italienne. La haute-ville est l'un des plus beaux ensembles urbains de la p&eacute;riode gothique, avec le palais des Grands Ma&icirc;tres, l'H&ocirc;pital et la rue des Chevaliers. Dans la basse-ville, l'architecture gothique coexiste avec des mosqu&eacute;es, des bains publics et d'autres &eacute;difices construits durant la p&eacute;riode ottomane.</p>",NA,NA,1988,NA,NA,28.22778,36.44722,65.85,0,1,0,1,1,0,0,0,0,0,"(ii)(iv)(v)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"332",595,511,NA,"Archaeological Site of Mystras","Site archéologique de Mystras","<p>Mystras, the 'wonder of the Morea', was built as an amphitheatre around the fortress erected in 1249 by the prince of Achaia, William of Villehardouin. Reconquered by the Byzantines, then occupied by the Turks and the Venetians, the city was abandoned in 1832, leaving only the breathtaking medieval ruins, standing in a beautiful landscape.</p>","<p>Mystras, la &laquo; merveille de Mor&eacute;e &raquo;, fut b&acirc;tie en amphith&eacute;&acirc;tre autour de la forteresse &eacute;lev&eacute;e en 1249 par le prince d'Acha&iuml;e, Guillaume de Villehardouin. Reconquise par les Byzantins, puis occup&eacute;e par les Turcs et les V&eacute;nitiens, la ville fut enti&egrave;rement abandonn&eacute;e en 1832. Seul demeure un ensemble saisissant de ruines m&eacute;di&eacute;vales dans un paysage d'une grande beaut&eacute;.</p>",NA,NA,1989,NA,NA,22.36667,37.08056,54.43,0,1,1,1,0,0,0,0,0,0,"(ii)(iii)(iv)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"333",603,517,NA,"Archaeological Site of Olympia","Site archéologique d'Olympie","<p>The site of Olympia, in a valley in the Peloponnesus, has been inhabited since prehistoric times. In the 10th century B.C., Olympia became a centre for the worship of Zeus. The Altis &ndash; the sanctuary to the gods &ndash; has one of the highest concentrations of masterpieces from the ancient Greek world. In addition to temples, there are the remains of all the sports structures erected for the Olympic Games, which were held in Olympia every four years beginning in 776 B.C.</p>","<p>Le site d'Olympie, dans une vall&eacute;e du P&eacute;loponn&egrave;se, fut habit&eacute; d&egrave;s la pr&eacute;histoire, et le culte de Zeus s'y implanta d&egrave;s le X<sup>e</sup> si&egrave;cle av. J.-C. Le sanctuaire de l'Altis &ndash; partie consacr&eacute;e aux dieux &ndash; abritait l'une des plus fortes concentrations de chefs-d'&oelig;uvre du monde antique. En plus des temples, on y trouve des vestiges de toutes les installations sportives destin&eacute;es &agrave; la c&eacute;l&eacute;bration des jeux Olympiques qui s'y tinrent tous les quatre ans &agrave; partir de 776 av. J.-C.</p>",NA,NA,1989,NA,NA,21.66666667,37.65,105.6,1,1,1,1,0,1,0,0,0,0,"(i)(ii)(iii)(iv)(vi)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"334",620,530,NA,"Delos","Délos","<p>According to Greek mythology, Apollo was born on this tiny island in the Cyclades archipelago. Apollo's sanctuary attracted pilgrims from all over Greece and Delos was a prosperous trading port. The island bears traces of the succeeding civilizations in the Aegean world, from the 3rd millennium B.C. to the palaeochristian era. The archaeological site is exceptionally extensive and rich and conveys the image of a great cosmopolitan Mediterranean port.</p>","<p>&Icirc;le minuscule de l'archipel des Cyclades, D&eacute;los aurait vu la naissance d'Apollon. Son sanctuaire attirait des p&egrave;lerins de toute la Gr&egrave;ce et son port joua un r&ocirc;le commercial tr&egrave;s important. L'&icirc;le de D&eacute;los apporte un t&eacute;moignage unique sur les civilisations qui se sont succ&eacute;d&eacute; dans le monde &eacute;g&eacute;en du III<sup>e</sup> mill&eacute;naire av. J.-C. jusqu'&agrave; l'&eacute;poque pal&eacute;ochr&eacute;tienne. Le site arch&eacute;ologique est exceptionnellement &eacute;tendu et offre l'image d'un grand port cosmopolite m&eacute;diterran&eacute;en.</p>",NA,NA,1990,NA,NA,25.26667,37.4,350.64,0,1,1,1,0,1,0,0,0,0,"(ii)(iii)(iv)(vi)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"335",632,537,NA,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios","Monastères de Daphni, de Hosios Loukas et Nea Moni de Chios","<p>Although geographically distant from each other, these three monasteries (the first is in Attica, near Athens, the second in Phocida near Delphi, and the third on an island in the Aegean Sea, near Asia Minor) belong to the same typological series and share the same aesthetic characteristics. The churches are built on a cross-in-square plan with a large dome supported by squinches defining an octagonal space. In the 11th and 12th centuries they were decorated with superb marble works as well as mosaics on a gold background, all characteristic of the 'second golden age of Byzantine art'.</p>","<p>Ces trois monast&egrave;res, &eacute;loign&eacute;s g&eacute;ographiquement &ndash; le premier en Attique pr&egrave;s d'Ath&egrave;nes, le second en Phocide &agrave; proximit&eacute; de Delphes, le troisi&egrave;me sur une &icirc;le de la mer &Eacute;g&eacute;e proche de l'Asie Mineure &ndash;, appartiennent &agrave; une m&ecirc;me s&eacute;rie typologique et participent d'une esth&eacute;tique commune. Leurs &eacute;glises de plan central, dont l'ample coupole est support&eacute;e par des trompes d'angle d&eacute;finissant un espace octogonal, ont re&ccedil;u aux XI<sup>e</sup> et XII<sup>e</sup> si&egrave;cles de superbes d&eacute;cors de marbre, ainsi que d'admirables mosa&iuml;ques &agrave; fond d'or, tr&egrave;s caract&eacute;ristiques du &laquo; deuxi&egrave;me &acirc;ge d'or byzantin &raquo;.</p>",NA,NA,1990,NA,NA,22.75,38.4,3.7,1,0,0,1,0,0,0,0,0,0,"(i)(iv)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"336",703,595,NA,"Pythagoreion and Heraion of Samos","Pythagoreion et Heraion de Samos","<p>Many civilizations have inhabited this small Aegean island, near Asia Minor, since the 3rd millennium B.C. The remains of Pythagoreion, an ancient fortified port with Greek and Roman monuments and a spectacular tunnel-aqueduct, as well as the Heraion, temple of the Samian Hera, can still be seen.</p>","<p>Dans cette petite &icirc;le de la mer &Eacute;g&eacute;e proche de l'Asie Mineure, plusieurs civilisations se sont succ&eacute;d&eacute; depuis le III<sup>e</sup> mill&eacute;naire avant l'&egrave;re chr&eacute;tienne. Il y subsiste notamment les vestiges de Pythagoreion, ancienne ville portuaire fortifi&eacute;e avec ses monuments grecs et romains et son spectaculaire aqueduc en tunnel, et l'Heraion, sanctuaire d'Hera samienne.</p>",NA,NA,1992,NA,NA,26.94333,37.69083,668.35,0,1,1,0,0,0,0,0,0,0,"(ii)(iii)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
"337",923,780,NA,"Archaeological Site of Aigai (modern name Vergina)","Site archéologique d'Aigai (nom moderne Vergina)","<p>The city of Aigai, the ancient first capital of the Kingdom of Macedonia, was discovered in the 19th century near Vergina, in northern Greece. The most important remains are the monumental palace, lavishly decorated with mosaics and painted stuccoes, and the burial ground with more than 300 tumuli, some of which date from the 11th century B.C. One of the royal tombs in the Great Tumulus is identified as that of Philip II, who conquered all the Greek cities, paving the way for his son Alexander and the expansion of the Hellenistic world.</p>","<p>&Agrave; proximit&eacute; de Vergina, dans le nord de la Gr&egrave;ce, fut d&eacute;couvert au XIX<sup>e</sup> si&egrave;cle l'ancienne Aigai, premi&egrave;re capitale du royaume de Mac&eacute;doine. Les plus importants vestiges sont le palais monumental &agrave; la somptueuse d&eacute;coration de mosa&iuml;ques et stucs peints et la n&eacute;cropole renfermant plus de trois cents tumulus dont certains remontent au XI<sup>e</sup> si&egrave;cle av. J.-C. Parmi les tombes royales qu'abrite le Grand Tumulus figurerait celle de Philippe II qui conquit l'ensemble des cit&eacute;s grecques, ouvrant la voie &agrave; son fils Alexandre et &agrave; l'expansion du monde hell&eacute;nistique.</p>","<p>The Committee decided to inscribe the nominated property on the basis of cultural criteria (i) and (iii) considering that the site is of outstanding universal value representing an exceptional testimony to a significant development in European civilization, at the transition from classical city-state to the imperial structure of the Hellenistic and Roman periods. This is vividly demonstrated in particular by the remarkable series of royal tombs and their rich contents. The Committee decided to add to the proposed criteria cultural criterion (i), since the paintings found at Vergina are of extraordinarily high quality and historical importance.</p>","<p>Le Comit&eacute; a d&eacute;cid&eacute; d'inscrire le bien propos&eacute; sur la base des crit&egrave;res culturels (i) et (iii), consid&eacute;rant la valeur universelle exceptionnelle de ce site qui est un t&eacute;moignage exceptionnel d'une &eacute;volution d&eacute;cisive de la civilisation europ&eacute;enne, &agrave; la charni&egrave;re entre la cit&eacute;-Etat classique et la structure imp&eacute;riale des p&eacute;riodes hell&eacute;nistique et romaine. La remarquable s&eacute;rie de tombeaux royaux et leur riche contenu le prouve avec un &eacute;clat particulier.</p>",1996,NA,NA,22.31833,40.47139,1420.81,1,0,1,0,0,0,0,0,0,0,"(i)(iii)","Cultural","C","Greece","Grèce","Europe and North America","Europe et Amérique du nord","gr","grc",0
