"12-stelliger Amtlicher 
Gemeindeschlüssel (AGS)";Bundesland;"Regierungsbezirk/ 
Ebene NUTS-2";"Kreisfreie Stadt/
Stadtkreis/
Landkreis";"Gemeinde-
verband";Gemeinde;Gebiet;"Regional-
ebene";Einwohnerzahl zum 09. Mai 2011;Bevölkerung nach Geschlecht;;;Bevölkerung nach Familienstand (ausführlich) und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach Alter (10er-Jahresgruppen) und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach 11 Altersklassen und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach Staatsangehörigkeitsgruppen;;;;;;;Bevölkerung nach Geburtsland (Gruppen);;;;;;;Bevölkerung nach Religion;;;;Bevölkerung nach Migrationshintergrund und -erfahrung;;;;;;;;;;;Personen mit Migrationserfahrung nach Zuzugsjahrzehnt ;;;;;;;;Bevölkerung mit Migrationshintergrund nach Regionen;;;;;Bevölkerung nach Erwerbsstatus und Geschlecht;;;;;;;;;;;;;;;Erwerbstätige nach Stellung im Beruf;;;;;;Erwerbstätige Bevölkerung nach Beruf (Hauptgruppen ISCO-08);;;;;;;;;;;Erwerbstätige nach Wirtschaftszweig Wirtschafts(unter)bereiche;;;;;;;;;;;;;;;Personen in schulischer Ausbildung nach Klassenstufen;;;;Personen in schulischer Ausbildung nach Schulform;;;;;;;Personen ab 15 Jahren nach höchstem schulischen Abschluss;;;;;;;;;;Personen ab 15 Jahren nach höchstem beruflichen Abschluss (ausführlich);;;;;;;
08111;08;1;11;;;Stuttgart, Landeshauptstadt;Stadtkreis/kreisfreie Stadt/Landkreis;585890;585890;287085;298805;585890;287085;298805;274852;145506;129346;233984;117846;116138;33517;5811;27706;42408;17102;25306;983;704;279;30;24;6;88;73;15;28;19;9;585890;287085;298805;51517;26298;25219;50205;25745;24460;94051;46992;47059;90997;46585;44412;89531;46110;43421;69773;34523;35250;59050;28331;30719;51852;23367;28485;28914;9134;19780;585890;287085;298805;16827;8599;8228;15444;7832;7612;43830;22467;21363;14567;7545;7022;52999;26338;26661;52106;26254;25852;90997;46585;44412;89531;46110;43421;100296;49259;51037;59453;27843;31610;49840;18253;31587;585890;463152;122738;48834;54078;19469;357;585890;427160;158730;57987;56993;35356;8394;585890;144975;167456;273459;581390;357140;224240;120950;87820;33130;103300;51430;51870;27350;24520;139250;1840;12110;20810;23980;34950;32200;13360;224240;87580;89330;47200;/;581380;284600;296780;329210;172890;156330;314950;165210;149740;14260;7670;6590;252170;111720;140450;314950;264230;14410;13190;20510;2610;305900;18250;89120;53620;42770;39800;1820;23880;14110;22460;/;314950;1340;63400;48840;2610;11950;80940;47680;33250;169140;12220;59140;19100;78690;(130);62730;20580;33040;9110;62730;19780;5030;10750;19850;/;6410;504180;47660;36130;11530;124720;117470;108360;9110;41350;172960;504180;146710;173550;45290;12270;39230;73820;13310
081110000000;08;1;11;0000;000;Stuttgart, Landeshauptstadt;Gemeinde;585890;585890;287085;298805;585890;287085;298805;274852;145506;129346;233984;117846;116138;33517;5811;27706;42408;17102;25306;983;704;279;30;24;6;88;73;15;28;19;9;585890;287085;298805;51517;26298;25219;50205;25745;24460;94051;46992;47059;90997;46585;44412;89531;46110;43421;69773;34523;35250;59050;28331;30719;51852;23367;28485;28914;9134;19780;585890;287085;298805;16827;8599;8228;15444;7832;7612;43830;22467;21363;14567;7545;7022;52999;26338;26661;52106;26254;25852;90997;46585;44412;89531;46110;43421;100296;49259;51037;59453;27843;31610;49840;18253;31587;585890;463152;122738;48834;54078;19469;357;585890;427160;158730;57987;56993;35356;8394;585890;144975;167456;273459;581390;357140;224240;120950;87820;33130;103300;51430;51870;27350;24520;139250;1840;12110;20810;23980;34950;32200;13360;224240;87580;89330;47200;/;581380;284600;296780;329210;172890;156330;314950;165210;149740;14260;7670;6590;252170;111720;140450;314950;264230;14410;13190;20510;2610;305900;18250;89120;53620;42770;39800;1820;23880;14110;22460;/;314950;1340;63400;48840;2610;11950;80940;47680;33250;169140;12220;59140;19100;78690;(130);62730;20580;33040;9110;62730;19780;5030;10750;19850;/;6410;504180;47660;36130;11530;124720;117470;108360;9110;41350;172960;504180;146710;173550;45290;12270;39230;73820;13310
08115;08;1;15;;;Böblingen;Stadtkreis/kreisfreie Stadt/Landkreis;363950;363949;178710;185239;363949;178710;185239;142096;76769;65327;178251;89011;89240;21369;3785;17584;22049;9045;13004;169;97;72;3;-;3;9;-;9;3;3;-;363949;178710;185239;34680;17930;16750;40705;20925;19780;40695;20244;20451;45238;22579;22659;61733;31199;30534;50433;24993;25440;39220;18870;20350;34710;16162;18548;16535;5808;10727;363949;178710;185239;9927;5083;4844;10333;5323;5010;34642;17969;16673;12124;6285;5839;28338;14376;13962;20716;10063;10653;45238;22579;22659;61733;31199;30534;70456;34622;35834;40200;19158;21042;30242;12053;18189;363949;313903;50046;20618;24398;4976;54;363949;285253;78696;33779;25047;12452;7418;363949;85863;139887;138199;361660;250230;111430;49810;33890;15920;61620;32030;29590;15470;14110;65930;1360;6690;12880;14370;17170;10730;2720;111430;50560;44310;16510;/;361660;177810;183850;196930;105840;91090;190890;102860;88040;6040;2980;3060;164730;71970;92760;190890;163820;7830;6730;10610;1900;186490;9590;37330;35810;26370;24800;1420;25660;10770;14420;/;190890;1390;60050;50860;1470;7720;49030;31920;17110;80390;6620;27030;11820;34920;(40);48590;15490;25720;7380;48590;14890;3930;10070;15320;/;4070;307650;25880;16610;9270;109760;81560;74180;7380;25580;64880;307650;86310;131330;33720;6950;21990;23530;3830
081150003003;08;1;15;0003;003;Böblingen, Stadt;Gemeinde;44859;44859;21735;23124;44859;21735;23124;17048;9265;7783;21627;10700;10927;2993;530;2463;3161;1219;1942;30;21;9;-;-;-;-;-;-;-;-;-;44859;21735;23124;4077;2098;1979;4233;2246;1987;5229;2435;2794;5772;3015;2757;7085;3472;3613;6144;3058;3086;5124;2377;2747;4830;2184;2646;2365;850;1515;44859;21735;23124;1238;632;606;1246;646;600;3702;1954;1748;1212;679;533;3304;1545;1759;2837;1323;1514;5772;3015;2757;7085;3472;3613;8724;4198;4526;5395;2521;2874;4344;1750;2594;44859;37585;7274;2315;4140;813;6;44859;30997;13862;5562;4564;2367;1369;44859;11974;14008;18877;44460;24450;20010;7210;5150;2060;12810;7680;5120;3330;1800;12830;/;1070;2090;3190;3700;1940;620;20010;8690;8270;3030;/;44500;21590;22910;23910;12660;11250;23050;12180;10870;860;480;380;20590;8920;11660;23050;20410;860;470;1100;/;22600;1000;3790;4260;3380;3350;/;3130;1560;1970;/;23050;/;6780;5830;;720;6460;4140;2320;9750;710;3360;1460;4220;-;5200;1680;2850;670;5200;1610;530;940;1590;/;490;38250;3520;2540;970;12690;10000;9330;670;3530;8510;38250;10950;15970;3800;990;2880;3210;440
081150028028;08;1;15;0028;028;Leonberg, Stadt;Gemeinde;44630;44630;21883;22747;44630;21883;22747;17542;9389;8153;21308;10727;10581;2876;537;2339;2877;1209;1668;27;21;6;-;-;-;-;-;-;-;-;-;44630;21883;22747;3919;1970;1949;4450;2213;2237;4856;2404;2452;5651;2980;2671;7510;3842;3668;6118;2985;3133;5280;2514;2766;4450;2138;2312;2396;837;1559;44630;21883;22747;1139;576;563;1192;621;571;3800;1875;1925;1352;665;687;3142;1622;1520;2600;1228;1372;5651;2980;2671;7510;3842;3668;8767;4239;4528;5350;2591;2759;4127;1644;2483;44630;37949;6681;3633;2293;755;-;44630;36142;8488;3769;2152;1488;1079;44630;9597;16454;18579;44140;31580;12560;6620;4390;2230;5930;2770;3160;1340;1820;7160;/;820;1390;1320;1940;970;600;12560;6480;3800;2270;/;44130;21680;22450;24960;13390;11570;24040;12920;11120;910;470;450;19170;8290;10880;24040;20030;1080;1070;1660;/;23500;1420;5380;4550;3530;3180;/;2520;1260;1420;/;24040;/;6530;5230;/;1150;6240;4010;2230;11120;990;3810;1430;4900;(20);5450;1890;2980;590;5450;1870;350;1030;1790;/;/;37810;2670;1730;930;12120;10060;9480;590;3440;9520;37810;9020;15220;4820;950;3200;3750;850
081150029029;08;1;15;0029;029;Magstadt;Gemeinde;8908;8907;4514;4393;8907;4514;4393;3518;1956;1562;4333;2217;2116;496;81;415;557;260;297;3;-;3;-;-;-;-;-;-;-;-;-;8907;4514;4393;919;474;445;910;461;449;1078;565;513;1244;648;596;1509;805;704;1211;606;605;920;471;449;770;361;409;346;123;223;8907;4514;4393;263;(142);121;299;135;164;791;416;375;274;134;140;723;384;339;557;289;268;1244;648;596;1509;805;704;1688;860;828;920;442;478;639;259;380;8907;7081;1826;836;868;122;-;8907;6732;2175;1148;742;(226);(59);8907;2307;2954;3646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
081150041041;08;1;15;0041;041;Renningen, Stadt;Gemeinde;16720;16722;8204;8518;16722;8204;8518;6514;3562;2952;8396;4176;4220;890;136;754;910;330;580;9;-;9;-;-;-;3;-;3;-;-;-;16722;8204;8518;1588;826;762;1997;1035;962;1875;951;924;2090;1042;1048;2860;1447;1413;2420;1151;1269;1730;848;882;1498;682;816;664;222;442;16722;8204;8518;442;246;196;464;233;231;1665;865;800;627;315;312;1309;685;624;953;468;485;2090;1042;1048;2860;1447;1413;3314;1579;1735;1725;814;911;1273;510;763;16722;14706;2016;958;882;173;3;16722;13764;2958;1403;900;469;186;16722;3990;6967;5765;16630;12510;4120;2050;1280;770;2070;960;1110;450;650;2240;/;240;490;430;660;340;/;4120;1940;1550;640;/;16640;8150;8490;9160;4830;4320;8910;4750;4160;240;/;/;7480;3320;4160;8910;7750;450;380;320;/;8680;420;1650;1720;1460;1160;/;1080;470;570;/;8910;/;2740;2350;(60);330;2290;1510;780;3820;420;1140;580;1680;(10);2260;690;1250;320;2260;670;200;510;700;/;160;14080;1260;800;460;5030;3820;3500;320;1340;2630;14080;3880;6240;1570;350;1010;950;/
081150042042;08;1;15;0042;042;Rutesheim, Stadt;Gemeinde;9764;9764;4766;4998;9764;4766;4998;3686;1951;1735;4980;2487;2493;574;107;467;524;221;303;-;-;-;-;-;-;-;-;-;-;-;-;9764;4766;4998;923;465;458;1190;597;593;995;497;498;1129;571;558;1717;846;871;1367;654;713;1047;544;503;952;433;519;444;159;285;9764;4766;4998;235;120;(115);275;126;149;1031;541;490;355;163;192;743;370;373;469;239;230;1129;571;558;1717;846;871;1943;953;990;1059;525;534;808;312;496;9764;8663;1101;691;367;43;-;9764;8263;1501;876;398;131;96;9764;1944;4282;3538;9750;7860;1890;1080;730;350;810;380;420;130;300;1120;/;140;180;230;240;170;/;1890;1150;550;190;/;9740;4750;4990;5390;2870;2520;5240;2790;2450;150;/;/;4350;1880;2470;5240;4380;230;200;340;/;5110;350;1120;990;700;560;/;690;320;330;/;5240;/;1700;1440;/;220;1290;860;420;2230;290;(610);340;990;-;1420;390;840;190;1420;380;/;340;490;/;/;8330;640;340;290;3340;2140;1950;190;650;1560;8330;2320;3790;850;150;600;490;/
081150044044;08;1;15;0044;044;Schönaich;Gemeinde;9605;9604;4755;4849;9604;4755;4849;3589;1976;1613;4796;2402;2394;626;117;509;584;254;330;9;6;3;-;-;-;-;-;-;-;-;-;9604;4755;4849;805;415;390;1040;547;493;1031;527;504;1086;559;527;1674;834;840;1325;663;662;1103;507;596;1081;527;554;459;176;283;9604;4755;4849;234;103;(131);236;136;(100);885;470;415;294;152;142;722;390;332;505;238;267;1086;559;527;1674;834;840;1857;917;940;1218;582;636;893;374;519;9604;8289;1315;717;486;112;-;9604;7721;1883;865;530;262;(226);9604;2545;4229;2830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
081150045045;08;1;15;0045;045;Sindelfingen, Stadt;Gemeinde;60534;60534;29854;30680;60534;29854;30680;23455;12847;10608;29198;14675;14523;3719;658;3061;4119;1646;2473;40;28;12;-;-;-;3;-;3;-;-;-;60534;29854;30680;5819;3015;2804;6345;3219;3126;7123;3604;3519;8109;4108;4001;9399;4906;4493;8076;4003;4073;6519;3066;3453;6134;2849;3285;3010;1084;1926;60534;29854;30680;1759;910;849;1731;887;844;5405;2801;2604;1941;986;955;4718;2377;2341;3733;1877;1856;8109;4108;4001;9399;4906;4493;11436;5630;5806;6840;3149;3691;5463;2223;3240;60534;48306;12228;4148;6830;1229;21;60534;41095;19439;8058;6905;3056;1420;60534;16135;17103;27296;59940;31020;28920;12100;8630;3470;16830;9010;7810;4810;3000;17640;/;1910;3600;4230;4270;2890;570;28920;11840;13360;3700;/;59930;29670;30250;30990;17070;13920;29930;16510;13420;1050;550;500;28940;12610;16330;29930;26270;910;990;1510;/;29190;1200;5360;5360;3390;3850;/;4720;2250;2830;/;29930;/;10400;9080;(170);1150;7660;5330;2330;11720;720;4420;1560;5020;-;7610;2570;3770;1270;7610;2430;620;1310;2620;/;610;51180;5880;4380;1500;18260;13120;11850;1270;3780;10130;51180;16490;21690;5110;990;2790;3530;580
081150050050;08;1;15;0050;050;Weil der Stadt, Stadt;Gemeinde;18313;18312;9004;9308;18312;9004;9308;6940;3769;3171;9247;4620;4627;1125;201;924;997;414;583;3;-;3;-;-;-;-;-;-;-;-;-;18312;9004;9308;1695;864;831;2142;1118;1024;1949;981;968;2007;907;1100;3143;1693;1450;2707;1302;1405;1976;982;994;1814;835;979;879;322;557;18312;9004;9308;483;249;234;494;243;251;1736;892;844;649;334;315;1503;811;692;921;434;487;2007;907;1100;3143;1693;1450;3725;1808;1917;2054;993;1061;1597;640;957;18312;16321;1991;952;884;155;-;18312;15058;3254;1406;952;521;375;18312;4857;7226;6229;18290;13760;4530;2050;1370;680;2480;1230;1250;560;700;2590;/;340;460;510;720;440;/;4530;2340;1420;770;/;18290;8980;9310;10020;5290;4720;9740;5200;4540;280;/;180;8270;3690;4580;9740;8060;590;440;530;/;9510;460;1890;1860;1400;1140;/;1530;490;670;/;9740;/;2960;2490;/;(410);2350;1560;790;4330;360;1350;700;1930;0;2550;720;1330;500;2550;710;320;510;750;/;250;15770;1070;580;490;5960;4190;3700;500;1320;3240;15770;4310;7050;1560;210;1150;1290;200
